State,County,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
Alabama,Alabama,5024803,5039877,16148,64868
Alabama,Autauga County,58877,59095,168,681
Alabama,Baldwin County,233140,239294,661,2867
Alabama,Barbour County,25180,24964,109,394
Alabama,Bibb County,22223,22477,90,282
Alabama,Blount County,59081,59041,220,820
Alabama,Bullock County,10309,10320,37,129
Alabama,Butler County,19045,18884,58,295
Alabama,Calhoun County,116266,115972,409,1712
Alabama,Chambers County,34678,34541,121,512
Alabama,Cherokee County,24958,24996,114,473
Alabama,Chilton County,45024,45274,138,590
Alabama,Choctaw County,12619,12533,53,218
Alabama,Clarke County,22995,22760,100,395
Alabama,Clay County,14193,14190,53,221
Alabama,Cleburne County,15035,15103,65,252
Alabama,Coffee County,53565,54174,181,709
Alabama,Colbert County,57236,57474,213,877
Alabama,Conecuh County,11552,11328,48,230
Alabama,Coosa County,10383,10450,32,154
Alabama,Covington County,37469,37524,176,654
Alabama,Crenshaw County,13157,13083,45,218
Alabama,Cullman County,88044,89496,333,1265
Alabama,Dale County,49214,49342,170,652
Alabama,Dallas County,38190,37619,144,567
Alabama,DeKalb County,71630,71813,224,1021
Alabama,Elmore County,88116,89304,233,997
Alabama,Escambia County,36665,36699,132,564
Alabama,Etowah County,103393,103162,406,1751
Alabama,Fayette County,16307,16148,57,275
Alabama,Franklin County,32063,32013,114,448
Alabama,Geneva County,26675,26701,113,395
Alabama,Greene County,7704,7629,24,109
Alabama,Hale County,14792,14754,45,250
Alabama,Henry County,17167,17459,65,247
Alabama,Houston County,107190,107458,340,1418
Alabama,Jackson County,52519,52773,221,823
Alabama,Jefferson County,673341,667820,2224,8543
Alabama,Lamar County,13943,13689,60,234
Alabama,Lauderdale County,93610,94043,322,1407
Alabama,Lawrence County,33063,33090,135,511
Alabama,Lee County,174601,177218,368,1483
Alabama,Limestone County,104322,107517,250,1112
Alabama,Lowndes County,10297,9965,33,176
Alabama,Macon County,19476,18895,67,325
Alabama,Madison County,389696,395211,1042,4067
Alabama,Marengo County,19264,18996,74,306
Alabama,Marion County,29287,29246,131,510
Alabama,Marshall County,97608,98228,365,1323
Alabama,Mobile County,414250,413073,1434,5460
Alabama,Monroe County,19723,19648,67,288
Alabama,Montgomery County,228448,227434,645,2550
Alabama,Morgan County,123336,123668,443,1620
Alabama,Perry County,8452,8355,34,140
Alabama,Pickens County,19062,18801,88,342
Alabama,Pike County,32981,32991,81,386
Alabama,Randolph County,21971,21989,99,340
Alabama,Russell County,59226,58722,158,763
Alabama,St. Clair County,91333,92748,268,1180
Alabama,Shelby County,223708,226902,509,2024
Alabama,Sumter County,12295,12164,45,188
Alabama,Talladega County,82069,81524,292,1249
Alabama,Tallapoosa County,41229,41023,179,709
Alabama,Tuscaloosa County,227153,227007,492,2230
Alabama,Walker County,65100,64818,323,1143
Alabama,Washington County,15296,15147,68,235
Alabama,Wilcox County,10518,10446,56,158
Alabama,Winston County,23491,23652,84,401
Alaska,Alaska,732441,732673,1384,5641
Alaska,Aleutians East Borough,3418,3398,4,14
Alaska,Aleutians West Census Area,5206,5059,7,14
Alaska,Anchorage Municipality,290637,288121,561,2179
Alaska,Bethel Census Area,18648,18557,42,165
Alaska,Bristol Bay Borough,831,838,1,11
Alaska,Chugach Census Area,7073,6941,9,40
Alaska,Copper River Census Area,2616,2630,4,29
Alaska,Denali Borough,1611,1593,2,2
Alaska,Dillingham Census Area,4839,4772,10,48
Alaska,Fairbanks North Star Borough,95286,95593,137,641
Alaska,Haines Borough,2085,2071,6,23
