submission_date,state,tot_death,new_death
4/23/2020,NC,306,13
8/17/2020,MD,3765,3
3/28/2022,VT,585,0
3/18/2020,ME,0,0
2/6/2020,NE,0,0
2/2/2021,IL,21336,63
4/28/2020,MI,4310,105
5/3/2020,NH,86,2
12/25/2021,MS,10393,0
5/15/2021,NV,5530,0
6/12/2021,ME,845,0
1/1/2022,WI,11173,0
1/27/2020,MI,0,0
2/14/2021,CT,7381,0
7/16/2021,DE,1697,1
12/30/2020,WA,3420,51
5/6/2020,NC,539,25
10/23/2020,NE,591,4
10/2/2020,NC,3871,18
12/20/2021,MD,11553,20
6/9/2021,ND,1517,0
1/30/2020,MI,0,0
2/2/2022,NE,3731,26
7/21/2021,NE,2285,0
1/14/2021,NC,9305,95
6/3/2021,VT,249,1
8/28/2020,AL,3293,30
2/11/2022,IL,35725,0
3/20/2020,MD,2,0
12/26/2021,AL,16676,12
4/15/2022,IL,37815,9
2/29/2020,AL,1,0
4/24/2021,DE,1615,6
3/1/2022,WI,13351,54
12/13/2020,VT,102,4
4/12/2021,MO,8867,6
10/5/2020,WI,1392,4
8/17/2020,ID,273,4
8/10/2020,MD,3708,5
11/20/2020,MO,4467,59
2/14/2021,GU,130,0
12/7/2020,MS,4663,49
11/14/2021,VT,379,2
3/4/2022,CT,10543,28
8/23/2020,IL,8089,6
4/14/2022,NE,4191,0
8/5/2021,DE,1833,0
7/8/2021,NE,2262,0
12/24/2020,MI,13166,99
5/24/2020,NE,150,3
12/12/2021,CA,74509,0
2/28/2022,CA,84700,708
11/16/2021,VT,382,1
1/15/2021,AL,8414,75
12/24/2020,DE,888,16
2/27/2022,IN,22800,0
1/8/2022,ND,2029,1
3/5/2021,WA,5041,9
8/2/2021,WI,8295,3
7/27/2021,CA,63811,5
2/24/2020,MO,0,0
5/24/2021,VT,248,0
2/14/2022,MS,11652,94
8/25/2020,MD,3827,1
3/8/2021,MO,8640,10
1/22/2020,ME,0,0
10/11/2020,IN,3787,7
7/9/2021,CA,63376,59
5/4/2020,CA,2178,40
12/22/2021,NV,8354,15
3/29/2020,NV,15,1
7/2/2021,AL,11534,4
4/7/2021,IN,13072,15
9/15/2021,CA,67001,188
11/8/2020,DE,718,2
2/22/2021,AL,10444,21
8/2/2021,VT,252,0
8/23/2021,NV,6306,10
4/8/2020,MT,6,0
5/27/2021,CT,8230,3
10/17/2021,NC,17984,42
4/14/2020,NH,27,4
10/4/2020,WI,1388,5
9/10/2020,NC,3258,21
4/4/2022,NC,23257,2
7/3/2021,MD,9790,2
7/24/2021,NC,13767,10
2/6/2020,VT,0,0
9/13/2020,WA,1991,0
1/23/2021,MI,15455,52
11/13/2021,DE,2141,16
2/27/2022,VI,109,0
9/23/2021,VI,69,0
8/14/2020,CA,10831,165
5/1/2021,WI,7569,19
5/14/2021,MS,7374,1
7/11/2020,MO,1175,3
10/5/2020,NE,503,2
6/22/2021,NH,1368,1
10/6/2021,NV,7246,25
2/24/2020,CT,0,0
4/18/2020,VI,3,1
2/15/2022,MD,13965,40
5/2/2020,MI,4646,61
12/3/2020,ID,1014,23
12/24/2020,MD,5931,42
3/11/2021,DE,1494,2
6/7/2021,CA,62473,3
8/22/2020,WI,1089,14
9/4/2020,NC,3102,27
8/10/2020,NE,340,0
2/20/2020,AL,0,0
9/13/2021,VT,282,1
9/19/2020,MS,3135,7
1/3/2022,NC,19842,41
7/31/2021,NC,13853,14
6/2/2020,MS,1046,13
12/25/2020,IL,17154,194
3/2/2022,WI,13398,47
1/27/2020,NV,0,0
10/16/2021,WA,8256,22
10/18/2021,MI,23017,13
3/20/2021,AL,10859,11
11/26/2021,VI,85,0
3/25/2020,CT,19,7
8/19/2020,MO,1672,14
8/19/2021,NC,14378,37
5/3/2020,VI,4,0
12/9/2020,IN,6485,96
3/28/2022,CT,10759,0
8/3/2021,VI,39,0
9/20/2020,MO,2274,30
1/24/2021,NC,10350,90
1/10/2021,MO,7308,49
3/21/2020,MI,26,9
5/3/2021,ND,1494,0
9/14/2021,MO,11022,12
10/18/2021,ND,1690,10
7/13/2020,IN,2746,2
9/11/2020,MI,6929,8
1/27/2021,NC,10605,79
11/24/2020,AL,5172,23
9/30/2021,IN,15649,32
7/6/2021,VI,32,2
3/9/2020,ID,0,0
3/31/2021,WI,7315,23
2/24/2021,NV,4919,16
9/9/2020,MO,2041,21
5/8/2020,NE,92,2
6/25/2021,NC,13620,11
3/30/2022,MI,35662,40
2/18/2021,WA,4803,44
9/13/2020,MI,6942,8
3/18/2022,MD,14293,7
6/11/2020,CT,4146,26
10/8/2020,MT,197,4
9/17/2020,NV,1541,12
11/28/2021,WA,9208,0
10/31/2020,AL,4577,17
5/15/2020,DE,271,0
4/19/2020,MD,591,43
5/4/2020,NE,78,0
4/7/2020,NC,63,4
2/25/2022,CT,10465,22
2/24/2020,NH,0,0
12/23/2021,WA,9784,29
10/14/2020,NH,458,2
8/15/2021,ND,1545,0
4/16/2021,AL,11094,5
5/13/2021,NH,1326,4
1/5/2021,IN,8633,147
5/5/2021,MT,1578,1
11/29/2021,MS,10264,1
1/7/2021,VI,24,0
11/7/2021,DE,2119,0
9/12/2021,ID,2472,0
3/18/2022,AL,19391,11
9/17/2020,ID,434,5
10/11/2021,NH,1498,1
2/14/2020,CT,0,0
4/25/2020,ND,16,1
11/9/2021,DE,2124,5
11/20/2021,WI,9816,0
2/3/2020,IN,0,0
3/29/2021,MS,7190,6
8/12/2021,IN,14109,6
11/2/2021,NV,7668,12
10/16/2021,DE,2032,11
11/10/2021,MT,2451,14
6/8/2021,CA,62479,6
12/17/2020,GU,119,0
7/8/2021,WI,8158,4
7/2/2021,MD,9788,5
5/3/2020,DE,177,9
12/17/2020,ID,1259,28
9/26/2020,NV,1624,9
11/25/2021,IN,17386,0
6/14/2020,NE,216,0
3/14/2022,ME,2147,2
9/19/2020,CT,4492,0
10/2/2020,IL,8992,52
2/28/2020,WI,0,0
3/31/2022,NC,23251,3
1/5/2021,DE,947,10
2/14/2021,NH,1133,3
7/31/2021,CT,8293,0
4/14/2020,IN,385,35
1/31/2020,MD,0,0
9/29/2021,MD,10455,9
3/30/2022,VI,111,0
4/11/2020,IN,330,30
