State,POPESTIMATE2020,POPESTIMATE2021,DEATHS2020,DEATHS2021
United States,331501080.0,331893745.0,853448.0,3433943.0
Northeast Region,57525633.0,57159838.0,148129.0,601644.0
Midwest Region,68935174.0,68841444.0,193237.0,761784.0
South Region,126409007.0,127225329.0,337628.0,1366769.0
West Region,78631266.0,78667134.0,174454.0,703746.0
Alabama,5024803.0,5039877.0,16148.0,64868.0
Alaska,732441.0,732673.0,1384.0,5641.0
Arizona,7177986.0,7276316.0,18340.0,75665.0
Arkansas,3012232.0,3025891.0,9449.0,38257.0
California,39499738.0,39237836.0,81738.0,332337.0
Colorado,5784308.0,5812069.0,11835.0,47988.0
Connecticut,3600260.0,3605597.0,9428.0,37646.0
Delaware,991886.0,1003384.0,2649.0,11655.0
District of Columbia,690093.0,670050.0,1387.0,6552.0
Florida,21569932.0,21781128.0,63596.0,255553.0
Georgia,10725800.0,10799566.0,25664.0,105276.0
Hawaii,1451911.0,1441553.0,3773.0,14648.0
Idaho,1847772.0,1900923.0,4450.0,16918.0
Illinois,12785245.0,12671469.0,32486.0,130319.0
Indiana,6785644.0,6805985.0,19664.0,76906.0
Iowa,3188669.0,3193079.0,9005.0,35538.0
Kansas,2935880.0,2934582.0,7981.0,31407.0
Kentucky,4503958.0,4509394.0,14557.0,56853.0
Louisiana,4651203.0,4624047.0,13460.0,55335.0
Maine,1362280.0,1372247.0,4507.0,17635.0
Maryland,6172679.0,6165129.0,15128.0,61654.0
Massachusetts,7022220.0,6984723.0,17353.0,70431.0
Michigan,10067664.0,10050811.0,29450.0,117336.0
Minnesota,5707165.0,5707390.0,13403.0,53578.0
Mississippi,2956870.0,2949965.0,9793.0,38194.0
Missouri,6154481.0,6168187.0,18574.0,73333.0
Montana,1086193.0,1104271.0,3050.0,12022.0
Nebraska,1961455.0,1963692.0,5041.0,19213.0
Nevada,3114071.0,3143991.0,7894.0,31808.0
New Hampshire,1377848.0,1388992.0,3659.0,15158.0
New Jersey,9279743.0,9267130.0,22016.0,90557.0
New Mexico,2117566.0,2115877.0,5808.0,23082.0
New York,20154933.0,19835913.0,46447.0,192137.0
North Carolina,10457177.0,10551162.0,28852.0,115709.0
North Dakota,778962.0,774948.0,2116.0,7588.0
Ohio,11790587.0,11780017.0,36827.0,144406.0
Oklahoma,3962031.0,3986639.0,11925.0,48995.0
Oregon,4241544.0,4246155.0,11334.0,44592.0
Pennsylvania,12989625.0,12964056.0,39879.0,159229.0
Rhode Island,1096229.0,1095610.0,3036.0,11967.0
South Carolina,5130729.0,5190705.0,15134.0,62520.0
South Dakota,887099.0,895376.0,2496.0,9175.0
Tennessee,6920119.0,6975218.0,21873.0,84944.0
Texas,29217653.0,29527941.0,60137.0,248605.0
Utah,3281684.0,3337975.0,5705.0,22167.0
Vermont,642495.0,645570.0,1804.0,6884.0
Virginia,8632044.0,8642274.0,20881.0,84697.0
Washington,7718785.0,7738692.0,17643.0,70836.0
West Virginia,1789798.0,1782959.0,6995.0,27102.0
Wisconsin,5892323.0,5895908.0,16194.0,62985.0
Wyoming,577267.0,578803.0,1500.0,6042.0
Puerto Rico,3281538.0,3263584.0,7324.0,32710.0
